Дата,UserID,Продукт,Количество,Цена
2023-11-25,164,Планшет,1,11731.25
2024-01-24,856,Планшет,1,41028.44
2023-12-14,950,Планшет,5,37183.21
2023-08-29,398,Планшет,1,37355.84
2024-05-20,410,Наушники,5,45528.21
2023-11-08,534,Планшет,2,1887.66
2024-03-16,955,Часы,3,32831.74
2024-02-13,838,Часы,5,49367.11
2024-05-27,579,Планшет,4,19185.56
2023-11-09,40,Ноутбук,1,39210.35
2024-03-29,333,Планшет,3,12480.82
2024-05-13,312,Часы,1,37940.15
2024-04-09,237,Ноутбук,5,10392.45
2023-08-05,245,Наушники,3,32915.5
2024-05-31,676,Телефон,4,2972.8
2023-11-01,142,Планшет,1,2377.28
2024-03-12,377,Ноутбук,1,30686.43
2023-12-24,484,Ноутбук,2,4103.96
2024-01-15,314,Планшет,2,14113.49
2024-02-28,606,Телефон,1,41964.74
2024-04-14,421,Планшет,4,44347.3
2024-04-07,834,Часы,3,14771.6
2023-09-15,648,Часы,4,31946.4
2023-09-08,721,Часы,4,9035.05
2023-08-13,835,Часы,5,1275.98
2023-08-16,543,Планшет,4,11437.64
2024-06-18,348,Ноутбук,5,25672.23
2024-05-21,412,Телефон,4,30965.2
2024-03-11,72,Ноутбук,4,43295.6
2023-09-06,348,Телефон,5,37829.83
2023-12-26,405,Часы,4,28411.09
2023-08-29,91,Планшет,3,13950.17
2024-03-23,796,Наушники,1,14554.83
2023-08-18,806,Наушники,1,25655.93
2024-01-06,242,Часы,3,3156.14
2024-01-29,767,Наушники,2,4867.34
2023-09-12,378,Часы,2,43000.39
2023-10-12,206,Часы,5,45519.84
2024-02-19,52,Планшет,3,44154.59
2023-12-03,965,Ноутбук,5,32035.54
2023-10-23,656,Телефон,3,17108.35
2023-11-13,394,Часы,5,18873.0
2024-06-04,715,Телефон,5,19205.08
2024-05-25,126,Телефон,1,12911.55
2023-12-11,43,Наушники,1,11847.57
2023-10-02,228,Ноутбук,2,32064.25
2023-09-06,262,Телефон,1,19583.77
2023-12-06,132,Наушники,5,29855.66
2023-09-26,81,Часы,1,35806.51
2023-08-23,665,Телефон,5,6612.48
2024-05-17,634,Наушники,5,15376.91
2023-08-14,611,Планшет,5,14955.38
2024-01-06,349,Часы,2,15638.6
2024-07-20,644,Ноутбук,2,22127.46
2023-09-13,40,Часы,3,30283.47
2024-05-24,478,Ноутбук,3,13827.91
2023-09-16,208,Ноутбук,4,8307.32
2023-08-15,526,Часы,3,23781.67
2023-12-19,548,Ноутбук,2,40699.84
2024-03-01,217,Наушники,3,26071.06
2024-05-28,274,Часы,1,27083.21
2024-04-01,91,Наушники,5,4769.79
2024-07-19,970,Часы,3,11486.06
2024-05-02,278,Телефон,5,43146.74
2024-07-15,623,Наушники,3,21091.92
2024-03-10,234,Планшет,1,19883.62
2024-02-10,848,Наушники,3,16412.31
2024-03-21,56,Планшет,1,3290.76
2024-01-27,443,Телефон,2,42135.92
2023-11-29,24,Ноутбук,5,44501.86
2023-08-30,946,Телефон,1,42746.84
2023-11-16,913,Наушники,1,16175.91
2024-06-30,963,Телефон,5,32565.45
2023-08-18,113,Часы,2,11973.52
2023-12-06,635,Часы,1,29615.88
2023-08-03,159,Часы,5,3274.21
2023-10-14,172,Планшет,4,25815.49
2023-09-13,17,Ноутбук,5,39133.14
2024-05-24,812,Часы,1,9933.46
2024-02-17,66,Часы,5,5463.68
2024-02-01,631,Часы,1,39409.66
2023-08-26,156,Ноутбук,4,44160.33
2024-01-14,453,Ноутбук,5,26669.72
2024-06-23,758,Часы,2,4027.09
2024-01-23,144,Планшет,3,34909.54
2023-10-23,180,Ноутбук,3,1011.45
2023-09-14,196,Часы,3,6991.86
2024-02-13,204,Часы,1,7810.92
2023-09-08,206,Планшет,4,23511.55
2023-12-03,101,Ноутбук,5,8892.33
2024-02-10,251,Ноутбук,4,44037.88
2023-09-01,962,Наушники,3,39984.09
2024-06-11,531,Часы,2,14902.38
2024-01-30,600,Часы,2,9961.98
2023-11-13,45,Телефон,4,47566.55
2023-10-28,749,Часы,2,37226.47
2024-02-06,507,Ноутбук,3,35984.1
2023-07-24,840,Ноутбук,1,31705.18
2024-05-30,546,Планшет,3,21593.0
2023-09-27,120,Часы,3,29989.15
2023-10-29,980,Часы,1,27775.54
2024-05-14,137,Часы,4,19338.53
2023-11-30,374,Наушники,4,9199.21
2024-04-06,331,Наушники,1,25419.95
2023-08-10,550,Часы,4,49868.18
2024-01-17,142,Телефон,5,21639.39
2023-10-26,334,Часы,1,36286.06
2023-11-10,317,Часы,1,16995.19
2023-10-02,186,Телефон,2,21952.49
2023-08-16,459,Наушники,1,26925.99
2024-03-23,645,Ноутбук,5,30003.64
2023-10-09,363,Телефон,4,46539.56
2024-04-25,639,Ноутбук,2,38125.22
2024-04-03,385,Планшет,4,17838.47
2024-04-06,307,Планшет,4,18197.78
2023-09-29,386,Наушники,4,49458.41
2024-06-16,345,Ноутбук,3,42866.72
2023-11-22,109,Наушники,4,31801.8
2023-12-04,615,Наушники,3,38971.05
2024-01-16,264,Наушники,4,26199.0
2024-06-30,345,Часы,5,26499.21
2024-01-05,479,Ноутбук,3,10595.82
2023-10-06,973,Телефон,5,34028.69
2024-01-03,434,Планшет,2,4937.7
2024-06-05,951,Наушники,4,49385.25
2024-07-08,857,Ноутбук,1,1125.91
2024-05-06,697,Часы,4,4295.57
2023-08-10,936,Телефон,5,1349.19
2024-02-26,935,Телефон,4,18622.32
2024-02-04,713,Планшет,3,45806.1
2024-04-28,374,Ноутбук,2,14000.37
2023-10-19,872,Планшет,5,14853.06
2023-10-11,646,Часы,3,47844.03
2023-11-05,515,Часы,1,22307.15
2024-07-14,524,Наушники,3,35403.8
